RNA84.Aligned.sorted	RNA16.Aligned.sorted	RNA64.Aligned.sorted	RNA77.Aligned.sorted	RNA34.Aligned.sorted	RNA76.Aligned.sorted	RNA13.Aligned.sorted	RNA92.Aligned.sorted	RNA35.Aligned.sorted	RNA68.Aligned.sorted	RNA83.Aligned.sorted	RNA30.Aligned.sorted	RNA80.Aligned.sorted	RNA17.Aligned.sorted	RNA87.Aligned.sorted	RNA44.Aligned.sorted	RNA27.Aligned.sorted	RNA4.Aligned.sorted	RNA42.Aligned.sorted	RNA8.Aligned.sorted	RNA99.Aligned.sorted	RNA73.Aligned.sorted	RNA52.Aligned.sorted	RNA60.Aligned.sorted	RNA7.Aligned.sorted	RNA40.Aligned.sorted	RNA90.Aligned.sorted	RNA55.Aligned.sorted	RNA3.Aligned.sorted	RNA39.Aligned.sorted	RNA31.Aligned.sorted	RNA22.Aligned.sorted	RNA12.Aligned.sorted
clu_1_+	0.99306872345319	1	1	1	1	0.999821970320481	1	0.973541881753916	1	1	1	1	1	0.996273106852447	1	1	0.822222503780016	1	1	1	0.750901098080976	1	1	1	1	0.772782413300404	1	0.953502296033382	1	1	1	1	1
clu_2_+	0.362371590924423	0.999396573199717	0.574297982848323	0.0550920757762482	0.538678036139354	0.00230941820221675	0.960137858862805	0.000706367516262688	0.863535785469266	0.0225266592637326	0.844043451546521	0.107955363118684	0.938752525791846	0.999999649609419	7.78088390856915e-09	0.171225118713644	0.0173434922608839	0.0577180630490265	0.983292971152289	0.963362546713076	0.748315003181272	0.000120621532905556	0.0807211578834178	0.109277441634053	0.982996973366483	0.000145953981113363	0.87350689289416	0.118790091832587	0.622025282496225	0.714768150069297	0.993589414838126	0.879415882940265	0.532911144136248
clu_3_+	0.783163528144459	0.162277023318073	0.629730390097915	0.803483926952377	0.999994002367968	0.885050332150088	0.477760663578304	0.431841955258826	0.999565881737709	0.991077487862801	0.729092464237775	0.595072744940814	0.997437654675884	0.967625507086445	0.999979607819484	0.0470081144451034	0.748973220213718	0.763819274440313	0.962253259649728	0.723209282534331	0.326715377581412	0.840661054901693	0.919060768975028	0.946822545742343	0.908800330417855	0.133740503464302	0.998954924809833	0.959876810706475	0.00148257604799889	0.0967395590139606	0.982239461693512	0.996556239918242	0.33042941051253
clu_4_+	0.927761832845968	0.877473963471919	0.999512815590561	0.288341266490762	0.918827240384714	0.982182481896381	0.957665083353858	0.794363533597239	0.528209455978614	0.991321659089799	0.897109965768432	0.862055732789317	0.986284938670162	0.659705251182793	0.989409592076173	0.162428514467357	0.914991205075938	0.997648048058602	0.712664487157064	0.353729605732458	0.685543841529114	0.406914862518452	0.976452478791371	0.785998329078819	0.552823273083928	0.587244240140891	0.819939034223198	0.869584649383517	0.41985326749195	0.349019186719007	0.473159886885742	0.993544741297009	0.995063657385285
clu_5_+	0.978110139548075	0.961013211729626	0.77496268795901	0.953206387900008	0.997508546846182	0.304046698074237	0.708005158147248	0.936328459454665	0.713096204565893	0.971025685819536	0.445713263834274	0.944939490104218	0.76502482271037	0.748211334232148	0.845260925968676	0.912889583583999	0.74117496316823	0.98719899705506	0.656927304218377	0.767977962930625	0.579527934741631	0.944939490104218	0.101817055168299	0.999842497259286	0.998348080087679	0.936328459454665	0.999998604964531	0.930652167147932	0.999886149293149	0.501291727433005	0.94406852990756	0.978110139548075	0.779415073988282
clu_6_-	0.998455665562676	0.999821487502834	0.537074867424935	0.169945719899429	0.998497323955059	0.966043814586152	0.821083701881738	0.984389944412297	0.984389944412297	0.930919293479704	0.517142397200167	0.999999583939508	0.788319117944006	0.999714272459497	0.999875549896607	0.99594119556574	0.928415415766014	0.501644710338434	0.999821487502834	0.879860519329151	0.999873535188402	0.537074867424935	0.962178186426365	0.705347246297806	0.974992165728489	0.999693399907583	0.94783761662221	0.618389663352955	0.984448523248376	0.978930495711752	0.995848982260102	0.955288638588546	0.998950658928916
clu_7_-	0.911051603083783	0.999910618722728	0.97448579084792	0.00623680535989542	0.989709003424553	0.0767466380447987	0.906902613361479	0.975980624172363	0.998838787541373	0.989977710798644	0.974478231550031	0.99951782872769	0.667550611914263	0.999659723182402	0.979774830562216	0.627305070474277	0.943182373986024	0.430707794345617	0.99112734292991	0.999931478363548	0.99007114172507	0.741687714625101	0.985550361346238	0.999874733742333	0.998629951261015	0.999983684905493	0.994474553070551	0.92733240108764	0.999980097930399	0.969850899514415	0.962321596993087	0.997461641713091	0.983427619888669
clu_8_-	0.987178133334181	0.999503673913069	0.965297370723944	0.671753301576293	0.999626523261394	0.806786235868674	0.893451720171962	0.927578365651005	0.975713599326826	0.959140542987317	0.995888434166289	0.903996227570373	0.903996227570373	0.903996227570373	0.995418212880373	0.865414346082838	0.893451720171962	0.815835308001968	0.98899355911449	0.99567078394669	0.977542189755365	0.688866898289269	0.942389643384189	0.92610399139697	0.944735471646187	0.987571021784612	0.909282539082084	0.995785339668117	0.99948928641912	1	0.988658771909352	0.977448104172684	0.97679810591523
clu_9_-	0.987057112559256	0.998132495697216	0.995376112090411	0.937411405613195	0.980200100735904	0.972374597295829	0.363873369960708	0.950215994083822	0.971809259683437	0.933900543587402	0.983665119883494	0.921937496530348	0.946681153902292	0.913147687652201	0.998995729785356	0.999653270261042	0.854626010356226	0.961044156595813	0.952587178828658	0.847681022777728	0.332120305071692	0.93415155060471	0.881129947595843	0.996731835249458	0.994818277057509	0.95866990931171	0.998525470767336	0.916920062882331	0.996192447523902	0.917416576311003	0.997565342490007	0.95441587234295	0.985089359406425
