RNA45.Aligned.sorted	RNA97.Aligned.sorted	RNA29.Aligned.sorted	RNA46.Aligned.sorted	RNA49.Aligned.sorted	RNA93.Aligned.sorted	RNA89.Aligned.sorted	RNA48.Aligned.sorted	RNA72.Aligned.sorted	RNA50.Aligned.sorted	RNA98.Aligned.sorted	RNA86.Aligned.sorted	RNA94.Aligned.sorted	RNA95.Aligned.sorted	RNA67.Aligned.sorted	RNA69.Aligned.sorted	RNA20.Aligned.sorted	RNA11.Aligned.sorted	RNA96.Aligned.sorted	RNA25.Aligned.sorted
clu_1_+	0.999129163583333	0.828143317627869	1	0.990883070072792	1	0.991267775418523	1	0.876535441374275	0.99886777388583	1	0.993775340786084	1	1	1	1	1	1	1	1	1
clu_2_+	0.965856299670953	0.499544941906409	0.999997586869477	0.389148739304844	0.112497602799156	0.320309163783213	6.15627548920951e-11	0.998840863911963	0.000184432504686028	0.981701010815255	0.269110854886818	0.729168902107676	0.350238929512526	0.95885042819612	0.0212422854423487	0.600462938629709	0.972181739521058	0.895451371963277	0.0764607052249402	0.791735501218453
clu_3_+	0.909146121193171	0.921078983972737	0.0294405950488879	0.3494890566592	0.987117320972972	1	0.946424131366886	0.134342718461517	0.247545788999744	0.96545382908721	0.946424131366886	0.999991687348524	0.950308837894749	0.975652577311587	0.99994195489168	0.614243917044875	0.902885210967491	0.523312113427859	0.994332578027359	0.885376778088496
clu_4_+	0.661473298640419	0.0586862270721029	0.605061194077401	0.96641406191682	0.956597794036644	0.856597863837887	0.986519819931788	0.96641406191682	0.501114171443535	0.911926101429883	0.76531111250689	0.684343858486739	0.55362865717287	0.999957020431528	0.964692373000577	0.99999992774369	0.422749069872175	0.969976156547235	0.999635643730889	0.80233770898396
clu_5_+	0.99493718700156	0.325525039761127	0.417038100007767	0.789576748456006	0.989180179759925	0.917861863913796	0.339943602805143	0.965930919565879	0.606895467985949	0.606895467985949	0.789576748456006	0.920567342447084	0.705283025809196	0.917861863913796	0.824508383027561	0.927730878181415	0.985524841306835	0.720900475551383	0.987664386496548	0.789576748456006
clu_6_-	0.999234934759683	0.637191658735428	0.815736310291268	0.978247086321778	0.895681850383159	0.994744022272352	0.998889564567958	0.106041981839857	0.98570395521006	0.999692024744312	0.998977108787038	0.982162372224824	0.997693757227287	0.994346931595154	0.955189578039372	0.972886368480713	0.969177028259872	0.864266321943615	0.988222706346473	0.997186253075547
clu_7_-	0.998672579220962	0.988657358884682	0.993035808176096	0.982335503096296	0.877957389989071	0.819420607176656	0.99705275262996	0.0563641337124465	0.8526626542602	0.976920666670563	0.875750430513803	0.966563324334237	0.987361646281635	0.998382441989521	0.999344038271214	0.179235031466011	0.937937179049085	0.923961165062896	0.994493611861346	0.997874570777239
clu_8_-	1	0.997647106996989	0.97757957215429	0.692791436828802	0.99503033787314	1	0.987345234855538	0.971192999186304	0.970202705093693	0.727221217445425	0.790743358129727	0.996568365296167	0.999746401654152	0.679955384762788	0.989339439981678	1	0.999986941890239	0.991859766339625	0.969785352163881	0.990466312672939
clu_9_-	0.881906604523256	0.995239708117137	0.991067658955737	0.963416878140418	0.928768388761333	0.991129615389711	0.998853336425709	0.956029724145801	0.981951245902571	0.961588558308734	0.999349593668128	0.99820766394106	0.936875794733923	0.999920342477115	0.981182839169622	0.872621437239895	0.997090422904267	0.953131990068407	0.969624587622226	0.951330289094477
